graph,frequency
inform&send_image&shop_turn!!!inform->inform&send_image->shop_turn&shop_turn->inform,25
ask_is_bot&greet&handoff!!!ask_is_bot->handoff&greet->ask_is_bot&handoff->greet,1
ask_is_bot&greet&handoff&shop_turn!!!ask_is_bot->handoff&greet->ask_is_bot&handoff->shop_turn,2
agree&ask_is_bot&handoff&shop_turn!!!ask_is_bot->handoff&handoff->shop_turn&shop_turn->agree,4
ask_availability#size&greet&handoff&inform!!!greet->inform&handoff->greet&inform->ask_availability#size,2
ask_availability#size&greet&inform&shop_turn!!!ask_availability#size->shop_turn&greet->inform&inform->ask_availability#size,3
ask_availability#size&greet&inform&shop_turn!!!ask_availability#size->shop_turn&inform->ask_availability#size&shop_turn->greet,4
ask_availability#size&greet&handoff&shop_turn!!!ask_availability#size->shop_turn&greet->handoff&shop_turn->greet,10
inform&request#price&shop_turn!!!request#price->inform&request#price->request#price&shop_turn->request#price,2
inform&request#price&shop_turn!!!inform->shop_turn&request#price->inform&request#price->request#price,1
inform&request#price&shop_turn&thank!!!inform->shop_turn&request#price->inform&shop_turn->thank,7
handoff&send_image&thank!!!handoff->handoff&handoff->thank&send_image->handoff,1
greet&handoff&shop_turn&thank!!!handoff->thank&shop_turn->greet&thank->shop_turn,7
agree&greet&handoff&shop_turn!!!greet->handoff&handoff->shop_turn&shop_turn->agree,41
agree&inform&send_image&shop_turn!!!agree->inform&inform->shop_turn&send_image->agree,4
handoff&request#price&send_image&shop_turn!!!handoff->send_image&request#price->shop_turn&shop_turn->handoff,57
handoff&inform&send_image!!!handoff->send_image&inform->inform&send_image->inform,34
inform&send_image!!!inform->inform&send_image->inform,14
handoff&inform!!!inform->handoff&inform->inform,28
ask_if_sells#size&inform&shop_turn!!!ask_if_sells#size->shop_turn&inform->shop_turn&shop_turn->ask_if_sells#size,49
ask_availability#size&shop_turn!!!ask_availability#size->shop_turn&shop_turn->ask_availability#size,46
agree&greet&handoff&shop_turn!!!greet->agree&handoff->shop_turn&shop_turn->greet,7
handoff&inform&request#price&send_image!!!handoff->request#price&request#price->send_image&send_image->inform,16
inform&request#price&send_image!!!inform->inform&request#price->send_image&send_image->inform,5
inform&send_image&shop_turn!!!inform->inform&inform->shop_turn&send_image->inform,60
agree&inform&send_image&shop_turn!!!agree->send_image&inform->shop_turn&shop_turn->agree,14
agree&ask_availability#size&send_image&shop_turn!!!agree->send_image&send_image->ask_availability#size&shop_turn->agree,13
agree&ask_availability#size&send_image&shop_turn!!!agree->send_image&ask_availability#size->shop_turn&send_image->ask_availability#size,12
ask_if_sells#size&inform&send_image&shop_turn!!!ask_if_sells#size->inform&send_image->ask_if_sells#size&shop_turn->send_image,12
ask_if_sells#size&inform&send_image&shop_turn!!!ask_if_sells#size->inform&inform->shop_turn&send_image->ask_if_sells#size,31
agree&ask_if_sells#size&inform&shop_turn!!!agree->ask_if_sells#size&inform->shop_turn&shop_turn->agree,1
agree&ask_if_sells#size&shop_turn!!!agree->ask_if_sells#size&ask_if_sells#size->shop_turn&shop_turn->agree,11
agree&ask_if_sells#size&handoff&shop_turn!!!agree->ask_if_sells#size&ask_if_sells#size->shop_turn&shop_turn->handoff,3
handoff&inform&request#price!!!handoff->handoff&handoff->request#price&request#price->inform,2
handoff&inform&request#price&send_image!!!handoff->request#price&inform->send_image&request#price->inform,1
inform&request#price&send_image&shop_turn!!!inform->send_image&request#price->inform&send_image->shop_turn,12
handoff&inform&request#price&shop_turn!!!handoff->request#price&inform->shop_turn&shop_turn->handoff,41
handoff&inform&send_image!!!handoff->send_image&inform->send_image&send_image->inform,15
inform&send_image!!!inform->send_image&send_image->inform,65
inform&send_image&shop_turn!!!inform->send_image&inform->shop_turn&send_image->inform,41
agree&inform&send_image&shop_turn!!!inform->shop_turn&send_image->inform&shop_turn->agree,23
agree&handoff&send_image&shop_turn!!!agree->send_image&send_image->handoff&shop_turn->agree,52
agree&handoff&send_image!!!agree->send_image&handoff->handoff&send_image->handoff,7
greet&handoff&inform&send_image!!!greet->inform&handoff->greet&inform->send_image,7
greet&handoff&inform&send_image!!!greet->inform&inform->send_image&send_image->handoff,9
handoff&inform&send_image&shop_turn!!!handoff->shop_turn&inform->send_image&send_image->handoff,39
greet&handoff&send_image&shop_turn!!!handoff->shop_turn&send_image->handoff&shop_turn->greet,17
handoff&send_image&shop_turn!!!handoff->shop_turn&send_image->send_image&shop_turn->send_image,75
handoff&send_image&shop_turn!!!send_image->handoff&send_image->send_image&shop_turn->send_image,36
agree&handoff&shop_turn&thank!!!agree->shop_turn&handoff->thank&shop_turn->handoff,2
ask_availability#size&handoff&shop_turn&thank!!!handoff->thank&shop_turn->ask_availability#size&thank->shop_turn,3
ask_availability#size&handoff&shop_turn&thank!!!ask_availability#size->handoff&shop_turn->ask_availability#size&thank->shop_turn,1
greet&handoff&inform&shop_turn!!!greet->handoff&handoff->inform&shop_turn->greet,16
greet&handoff&inform!!!greet->handoff&handoff->inform&inform->handoff,16
ask_is_bot&shop_turn&thank!!!ask_is_bot->shop_turn&shop_turn->ask_is_bot&shop_turn->thank,1
ask_availability#size&handoff&request#price&send_image!!!ask_availability#size->request#price&handoff->send_image&send_image->ask_availability#size,13
ask_availability#size&request#price&send_image&shop_turn!!!ask_availability#size->request#price&request#price->shop_turn&send_image->ask_availability#size,29
ask_availability#size&request#price&shop_turn!!!ask_availability#size->request#price&request#price->shop_turn&shop_turn->request#price,4
handoff&inform&send_image!!!handoff->inform&inform->send_image&send_image->inform,10
agree&request#price&shop_turn&thank!!!agree->thank&request#price->shop_turn&shop_turn->agree,7
ask_if_sells#size&handoff&inform&shop_turn!!!handoff->ask_if_sells#size&inform->shop_turn&shop_turn->handoff,12
agree&ask_if_sells#size&handoff&shop_turn!!!ask_if_sells#size->shop_turn&handoff->ask_if_sells#size&shop_turn->agree,17
agree&ask_if_sells#size&handoff&shop_turn!!!agree->handoff&ask_if_sells#size->shop_turn&shop_turn->agree,24
handoff&inform&shop_turn&thank!!!handoff->inform&shop_turn->thank&thank->handoff,4
handoff&inform&thank!!!handoff->inform&inform->inform&thank->handoff,1
handoff&inform!!!handoff->handoff&handoff->inform,45
inform&send_image&shop_turn!!!inform->shop_turn&send_image->shop_turn&shop_turn->send_image,50
inform&shop_turn!!!inform->inform&shop_turn->inform,70
agree&request#price&send_image&shop_turn!!!agree->shop_turn&request#price->send_image&shop_turn->request#price,17
agree&request#price&send_image&shop_turn!!!request#price->send_image&send_image->agree&shop_turn->request#price,1
agree&request#price&send_image&shop_turn!!!agree->shop_turn&request#price->send_image&send_image->agree,1
agree&send_image&shop_turn!!!agree->shop_turn&send_image->agree&shop_turn->agree,7
inform&shop_turn&thank!!!shop_turn->inform&shop_turn->thank&thank->shop_turn,22
inform&shop_turn&thank!!!inform->shop_turn&shop_turn->inform&thank->shop_turn,15
ask_if_sells#size&handoff&shop_turn!!!handoff->ask_if_sells#size&handoff->shop_turn&shop_turn->handoff,29
handoff&request#price&send_image&shop_turn!!!handoff->request#price&send_image->shop_turn&shop_turn->handoff,18
handoff&inform&request#price!!!handoff->inform&handoff->request#price&request#price->handoff,2
handoff&inform&request#price!!!handoff->inform&inform->inform&request#price->handoff,2
greet&handoff&inform&shop_turn!!!handoff->greet&inform->shop_turn&shop_turn->handoff,8
greet&handoff&shop_turn&thank!!!greet->shop_turn&handoff->thank&shop_turn->handoff,2
handoff&send_image!!!handoff->handoff&handoff->send_image&send_image->send_image,34
handoff&send_image!!!send_image->handoff&send_image->send_image,19
agree&handoff&inform&shop_turn!!!agree->handoff&handoff->inform&shop_turn->agree,22
agree&handoff&inform&shop_turn!!!agree->handoff&handoff->inform&inform->shop_turn,12
agree&handoff&shop_turn&thank!!!agree->handoff&handoff->thank&shop_turn->agree,17
agree&handoff&shop_turn&thank!!!agree->handoff&handoff->thank&thank->shop_turn,14
ask_if_sells#size&handoff&send_image&shop_turn!!!ask_if_sells#size->shop_turn&handoff->send_image&send_image->ask_if_sells#size,142
ask_if_sells#size&greet&send_image&shop_turn!!!ask_if_sells#size->shop_turn&send_image->ask_if_sells#size&shop_turn->greet,13
ask_if_sells#size&greet&shop_turn!!!ask_if_sells#size->shop_turn&greet->ask_if_sells#size&shop_turn->greet,11
ask_if_sells#size&greet&shop_turn!!!ask_if_sells#size->greet&greet->ask_if_sells#size&shop_turn->greet,1
ask_if_sells#size&greet&send_image!!!ask_if_sells#size->greet&greet->ask_if_sells#size&greet->send_image,1
ask_if_sells#size&greet&send_image!!!ask_if_sells#size->greet&greet->send_image&send_image->ask_if_sells#size,2
ask_if_sells#size&greet&send_image&shop_turn!!!ask_if_sells#size->shop_turn&greet->send_image&send_image->ask_if_sells#size,28
ask_if_sells#size&handoff&send_image!!!ask_if_sells#size->ask_if_sells#size&handoff->ask_if_sells#size&send_image->handoff,1
ask_if_sells#size&handoff&shop_turn!!!ask_if_sells#size->ask_if_sells#size&ask_if_sells#size->shop_turn&handoff->ask_if_sells#size,1
ask_if_sells#size&send_image&shop_turn!!!ask_if_sells#size->ask_if_sells#size&ask_if_sells#size->shop_turn&shop_turn->send_image,1
ask_if_sells#size&send_image&shop_turn!!!ask_if_sells#size->shop_turn&send_image->shop_turn&shop_turn->send_image,81
greet&handoff&shop_turn&thank!!!greet->handoff&handoff->shop_turn&thank->greet,6
ask_if_sells#size&handoff&request#price&send_image!!!ask_if_sells#size->request#price&handoff->send_image&send_image->ask_if_sells#size,16
agree&handoff&send_image!!!agree->handoff&handoff->handoff&handoff->send_image,10
handoff&send_image&shop_turn!!!handoff->send_image&send_image->send_image&send_image->shop_turn,43
agree&send_image&shop_turn!!!send_image->send_image&send_image->shop_turn&shop_turn->agree,9
inform&request#price&send_image&shop_turn!!!inform->send_image&request#price->shop_turn&shop_turn->inform,14
send_image&thank!!!send_image->send_image&send_image->thank,3
handoff&send_image&thank!!!send_image->send_image&send_image->thank&thank->handoff,2
handoff&send_image&thank!!!handoff->send_image&send_image->thank&thank->handoff,3
handoff&send_image&shop_turn&thank!!!handoff->send_image&send_image->shop_turn&thank->handoff,8
greet&handoff&send_image!!!handoff->greet&send_image->handoff&send_image->send_image,3
ask_is_bot&greet&handoff&send_image!!!greet->ask_is_bot&handoff->greet&send_image->handoff,1
ask_is_bot&greet&handoff&shop_turn!!!ask_is_bot->shop_turn&greet->ask_is_bot&handoff->greet,1
ask_is_bot&greet&handoff&shop_turn!!!ask_is_bot->shop_turn&greet->ask_is_bot&shop_turn->handoff,2
ask_availability#size&greet&handoff!!!greet->ask_availability#size&handoff->greet&handoff->handoff,1
ask_availability#size&greet&handoff&shop_turn!!!ask_availability#size->shop_turn&greet->ask_availability#size&handoff->greet,5
ask_availability#size&greet&inform&shop_turn!!!ask_availability#size->shop_turn&greet->ask_availability#size&shop_turn->inform,4
ask_if_sells#size&handoff&send_image!!!handoff->handoff&handoff->send_image&send_image->ask_if_sells#size,12
inform&request#price&send_image&shop_turn!!!request#price->shop_turn&send_image->inform&shop_turn->send_image,80
ask_availability#size&ask_if_sells#size&request#price&thank!!!ask_availability#size->ask_if_sells#size&ask_if_sells#size->request#price&request#price->thank,1
ask_if_sells#size&request#price&shop_turn&thank!!!ask_if_sells#size->request#price&request#price->thank&thank->shop_turn,1
handoff&request#price&shop_turn&thank!!!request#price->thank&shop_turn->handoff&thank->shop_turn,2
agree&ask_if_sells#size&send_image&shop_turn!!!ask_if_sells#size->shop_turn&send_image->ask_if_sells#size&shop_turn->agree,34
handoff&inform&send_image&shop_turn!!!handoff->shop_turn&inform->send_image&shop_turn->inform,49
handoff&inform&send_image&shop_turn!!!inform->send_image&send_image->handoff&shop_turn->inform,27
ask_availability#size&handoff&send_image!!!handoff->send_image&send_image->ask_availability#size&send_image->send_image,20
ask_availability#size&handoff&shop_turn&thank!!!ask_availability#size->shop_turn&handoff->ask_availability#size&shop_turn->thank,8
ask_availability#size&shop_turn&thank!!!ask_availability#size->shop_turn&shop_turn->thank&thank->shop_turn,26
inform&request#price&send_image&shop_turn!!!request#price->inform&send_image->shop_turn&shop_turn->request#price,13
handoff&request#price&shop_turn!!!handoff->request#price&request#price->request#price&shop_turn->handoff,4
handoff&request#price&shop_turn!!!handoff->request#price&request#price->request#price&request#price->shop_turn,5
request#price&shop_turn!!!request#price->request#price&request#price->shop_turn&shop_turn->request#price,33
handoff&send_image&shop_turn&thank!!!send_image->handoff&shop_turn->thank&thank->send_image,22
handoff&send_image&shop_turn&thank!!!handoff->shop_turn&send_image->handoff&thank->send_image,18
ask_if_sells#size&send_image&shop_turn!!!ask_if_sells#size->shop_turn&send_image->send_image&shop_turn->send_image,22
agree&shop_turn&thank!!!shop_turn->agree&shop_turn->thank&thank->shop_turn,32
agree&ask_availability#size&ask_is_bot&shop_turn!!!agree->shop_turn&ask_availability#size->ask_is_bot&shop_turn->ask_availability#size,1
ask_availability#size&ask_is_bot&handoff&shop_turn!!!ask_availability#size->ask_is_bot&ask_is_bot->handoff&shop_turn->ask_availability#size,1
ask_availability#size&ask_is_bot&handoff!!!ask_availability#size->ask_is_bot&ask_is_bot->handoff&handoff->handoff,1
ask_is_bot&handoff&shop_turn!!!ask_is_bot->handoff&handoff->handoff&handoff->shop_turn,3
handoff&send_link&shop_turn&thank!!!handoff->shop_turn&shop_turn->thank&thank->send_link,1
handoff&send_link&shop_turn&thank!!!send_link->handoff&shop_turn->thank&thank->send_link,1
handoff&send_link&shop_turn&thank!!!handoff->shop_turn&send_link->handoff&thank->send_link,1
handoff&send_link&shop_turn&thank!!!handoff->shop_turn&send_link->handoff&shop_turn->thank,3
greet&handoff&send_image!!!greet->handoff&handoff->send_image&send_image->handoff,15
handoff&inform&send_image!!!handoff->inform&handoff->send_image&send_image->handoff,39
ask_is_bot&handoff&shop_turn!!!handoff->ask_is_bot&handoff->handoff&shop_turn->handoff,4
ask_is_bot&handoff&shop_turn!!!ask_is_bot->shop_turn&handoff->ask_is_bot&handoff->handoff,7
agree&ask_is_bot&handoff&shop_turn!!!ask_is_bot->shop_turn&handoff->ask_is_bot&shop_turn->agree,5
agree&ask_is_bot&handoff&shop_turn!!!agree->handoff&ask_is_bot->shop_turn&shop_turn->agree,2
agree&ask_is_bot&shop_turn!!!agree->shop_turn&ask_is_bot->shop_turn&shop_turn->agree,1
handoff&shop_turn&thank!!!handoff->thank&shop_turn->handoff&thank->handoff,14
handoff&thank!!!handoff->handoff&handoff->thank&thank->handoff,12
ask_if_sells#size&request#price&shop_turn&thank!!!ask_if_sells#size->request#price&request#price->shop_turn&shop_turn->thank,8
ask_availability#size&handoff&send_image&shop_turn!!!ask_availability#size->shop_turn&handoff->send_image&shop_turn->handoff,21
handoff&request#price&send_image&shop_turn!!!handoff->send_image&send_image->request#price&shop_turn->handoff,70
ask_if_sells#size&handoff&inform&shop_turn!!!handoff->inform&inform->ask_if_sells#size&shop_turn->handoff,5
ask_if_sells#size&handoff&inform&shop_turn!!!ask_if_sells#size->shop_turn&handoff->inform&inform->ask_if_sells#size,7
handoff&send_image!!!handoff->handoff&handoff->send_image,55
inform&send_image&shop_turn!!!inform->send_image&send_image->send_image&shop_turn->inform,11
greet&handoff&request#price&shop_turn!!!greet->handoff&handoff->shop_turn&shop_turn->request#price,11
greet&handoff&inform&shop_turn!!!greet->inform&handoff->greet&inform->shop_turn,14
greet&handoff&request#price&shop_turn!!!greet->request#price&request#price->shop_turn&shop_turn->handoff,15
ask_availability#size&handoff&shop_turn!!!handoff->ask_availability#size&handoff->handoff&shop_turn->handoff,6
ask_availability#size&handoff!!!ask_availability#size->handoff&handoff->ask_availability#size&handoff->handoff,12
request#price&send_image!!!send_image->request#price&send_image->send_image,37
inform&request#price&send_image!!!request#price->inform&send_image->request#price&send_image->send_image,14
ask_if_sells#size&handoff&send_image!!!handoff->send_image&send_image->ask_if_sells#size&send_image->send_image,13
ask_if_sells#size&greet&send_image!!!ask_if_sells#size->greet&send_image->ask_if_sells#size&send_image->send_image,1
ask_if_sells#size&greet&send_image&shop_turn!!!ask_if_sells#size->greet&greet->shop_turn&send_image->ask_if_sells#size,5
ask_if_sells#size&greet&request#price&shop_turn!!!ask_if_sells#size->greet&greet->shop_turn&shop_turn->request#price,2
greet&handoff&request#price&shop_turn!!!greet->shop_turn&request#price->handoff&shop_turn->request#price,7
handoff&request#price&shop_turn!!!handoff->handoff&request#price->handoff&shop_turn->request#price,25
handoff&request#price&shop_turn!!!handoff->handoff&handoff->shop_turn&request#price->handoff,45
ask_availability#size&handoff&shop_turn&thank!!!ask_availability#size->thank&handoff->shop_turn&shop_turn->ask_availability#size,1
ask_availability#size&inform&shop_turn&thank!!!ask_availability#size->thank&shop_turn->ask_availability#size&thank->inform,1
ask_availability#size&inform&shop_turn&thank!!!ask_availability#size->thank&inform->shop_turn&thank->inform,1
greet&request#price&shop_turn!!!greet->shop_turn&shop_turn->greet&shop_turn->request#price,27
greet&request#price&send_image&shop_turn!!!greet->shop_turn&request#price->send_image&shop_turn->request#price,13
inform&request#price&send_image!!!request#price->inform&request#price->send_image&send_image->request#price,3
ask_availability#size&send_image&shop_turn&thank!!!ask_availability#size->shop_turn&send_image->ask_availability#size&shop_turn->thank,28
agree&handoff&send_image&shop_turn!!!handoff->shop_turn&send_image->agree&shop_turn->send_image,23
agree&handoff&send_image&shop_turn!!!agree->handoff&send_image->agree&shop_turn->send_image,9
greet&handoff&inform&shop_turn!!!greet->shop_turn&handoff->inform&shop_turn->handoff,16
agree&ask_availability#size&send_image&shop_turn!!!ask_availability#size->send_image&send_image->shop_turn&shop_turn->agree,3
ask_availability#size&greet&send_image&shop_turn!!!greet->shop_turn&send_image->ask_availability#size&shop_turn->send_image,16
ask_availability#size&send_image!!!ask_availability#size->send_image&send_image->ask_availability#size&send_image->send_image,17
ask_availability#size&send_image!!!ask_availability#size->send_image&send_image->send_image,14
ask_if_sells#size&handoff&request#price&shop_turn!!!handoff->shop_turn&request#price->ask_if_sells#size&shop_turn->request#price,10
ask_if_sells#size&request#price&shop_turn!!!ask_if_sells#size->shop_turn&request#price->ask_if_sells#size&shop_turn->request#price,39
ask_if_sells#size&inform&send_image&shop_turn!!!ask_if_sells#size->send_image&send_image->inform&shop_turn->ask_if_sells#size,5
ask_if_sells#size&inform&send_image&shop_turn!!!ask_if_sells#size->send_image&inform->shop_turn&send_image->inform,22
greet&inform&send_image&shop_turn!!!inform->shop_turn&send_image->inform&shop_turn->greet,10
greet&send_image&shop_turn!!!send_image->shop_turn&shop_turn->greet&shop_turn->send_image,9
greet&request#price&send_image&shop_turn!!!greet->request#price&send_image->shop_turn&shop_turn->greet,3
greet&request#price&shop_turn!!!greet->request#price&request#price->shop_turn&shop_turn->greet,18
greet&inform&request#price&shop_turn!!!greet->request#price&request#price->shop_turn&shop_turn->inform,2
agree&request#price&send_image&shop_turn!!!request#price->shop_turn&send_image->request#price&shop_turn->agree,56
greet&handoff&shop_turn!!!greet->greet&greet->shop_turn&handoff->greet,5
greet&handoff&shop_turn!!!greet->greet&greet->shop_turn&shop_turn->handoff,3
handoff&send_link&shop_turn!!!handoff->handoff&handoff->shop_turn&shop_turn->send_link,9
handoff&send_link&shop_turn!!!handoff->shop_turn&send_link->shop_turn&shop_turn->send_link,9
handoff&send_link&shop_turn!!!send_link->shop_turn&shop_turn->handoff&shop_turn->send_link,6
handoff&send_link&shop_turn!!!handoff->shop_turn&send_link->shop_turn&shop_turn->handoff,4
ask_availability#size&ask_if_sells#size&send_image&shop_turn!!!ask_if_sells#size->shop_turn&send_image->ask_if_sells#size&shop_turn->ask_availability#size,12
ask_availability#size&ask_if_sells#size&send_image&shop_turn!!!ask_availability#size->send_image&ask_if_sells#size->shop_turn&shop_turn->ask_availability#size,2
ask_availability#size&handoff&send_image&shop_turn!!!ask_availability#size->send_image&send_image->handoff&shop_turn->ask_availability#size,7
handoff&inform&send_image&shop_turn!!!handoff->shop_turn&inform->handoff&shop_turn->send_image,35
ask_availability#size&request#price&send_image&shop_turn!!!ask_availability#size->shop_turn&send_image->request#price&shop_turn->send_image,21
handoff&inform&send_image!!!handoff->handoff&handoff->inform&inform->send_image,9
handoff&inform&send_image!!!inform->handoff&inform->send_image&send_image->inform,16
handoff&inform&send_image&shop_turn!!!handoff->send_image&inform->handoff&send_image->shop_turn,14
ask_if_sells#size&handoff&send_image&shop_turn!!!handoff->send_image&send_image->shop_turn&shop_turn->ask_if_sells#size,18
ask_if_sells#size&handoff&send_image&shop_turn!!!ask_if_sells#size->handoff&send_image->shop_turn&shop_turn->ask_if_sells#size,7
agree&ask_if_sells#size&request#price&shop_turn!!!agree->ask_if_sells#size&ask_if_sells#size->shop_turn&shop_turn->request#price,1
ask_if_sells#size&request#price&shop_turn!!!ask_if_sells#size->shop_turn&request#price->request#price&shop_turn->request#price,2
inform&request#price&shop_turn!!!request#price->request#price&request#price->shop_turn&shop_turn->inform,10
greet&inform&shop_turn!!!inform->inform&inform->shop_turn&shop_turn->greet,12
ask_if_sells#size&greet&handoff&shop_turn!!!greet->handoff&handoff->ask_if_sells#size&shop_turn->greet,1
ask_if_sells#size&greet&handoff!!!ask_if_sells#size->handoff&greet->handoff&handoff->ask_if_sells#size,1
ask_if_sells#size&handoff&shop_turn!!!ask_if_sells#size->handoff&handoff->ask_if_sells#size&handoff->shop_turn,12
agree&handoff&shop_turn&thank!!!agree->handoff&handoff->shop_turn&shop_turn->thank,37
ask_if_sells#size&inform&send_image!!!ask_if_sells#size->inform&send_image->ask_if_sells#size&send_image->send_image,2
ask_if_sells#size&inform&shop_turn&thank!!!ask_if_sells#size->inform&inform->shop_turn&shop_turn->thank,3
ask_if_sells#size&handoff&request#price&send_image!!!handoff->request#price&request#price->send_image&send_image->ask_if_sells#size,13
ask_if_sells#size&handoff&send_image!!!ask_if_sells#size->send_image&send_image->handoff&send_image->send_image,2
ask_availability#size&handoff&send_image!!!ask_availability#size->send_image&handoff->ask_availability#size&handoff->handoff,3
ask_availability#size&handoff&request#price&send_image!!!ask_availability#size->send_image&handoff->ask_availability#size&send_image->request#price,3
handoff&request#price&send_image&shop_turn!!!handoff->shop_turn&request#price->handoff&shop_turn->send_image,21
agree&ask_availability#size&send_image&shop_turn!!!agree->ask_availability#size&send_image->agree&shop_turn->send_image,1
agree&ask_availability#size&handoff&send_image!!!agree->ask_availability#size&ask_availability#size->handoff&send_image->agree,1
agree&ask_availability#size&handoff!!!agree->ask_availability#size&ask_availability#size->handoff&handoff->handoff,1
greet&request#price&send_image&shop_turn!!!request#price->greet&send_image->request#price&shop_turn->send_image,5
greet&handoff&request#price&shop_turn!!!greet->shop_turn&request#price->greet&shop_turn->handoff,9
greet&handoff&send_image&shop_turn!!!greet->shop_turn&handoff->send_image&shop_turn->handoff,32
ask_if_sells#size&handoff&send_image&shop_turn!!!ask_if_sells#size->shop_turn&send_image->handoff&shop_turn->send_image,25
ask_availability#size&handoff&inform&shop_turn!!!handoff->ask_availability#size&inform->handoff&shop_turn->inform,5
ask_availability#size&handoff&inform&shop_turn!!!ask_availability#size->shop_turn&handoff->ask_availability#size&inform->handoff,4
handoff&request#price&send_image&shop_turn!!!request#price->handoff&send_image->request#price&shop_turn->send_image,43
greet&handoff&request#price&shop_turn!!!handoff->shop_turn&request#price->handoff&shop_turn->greet,5
greet&handoff&send_image&shop_turn!!!greet->handoff&handoff->shop_turn&shop_turn->send_image,26
ask_availability#size&send_image&shop_turn!!!ask_availability#size->shop_turn&shop_turn->ask_availability#size&shop_turn->send_image,63
agree&handoff&inform&shop_turn!!!handoff->agree&inform->shop_turn&shop_turn->handoff,9
handoff&inform&request#price&send_image!!!handoff->send_image&request#price->inform&send_image->request#price,49
ask_if_sells#size&handoff&shop_turn!!!handoff->handoff&handoff->shop_turn&shop_turn->ask_if_sells#size,47
ask_if_sells#size&handoff&send_image&shop_turn!!!ask_if_sells#size->send_image&handoff->shop_turn&shop_turn->ask_if_sells#size,24
ask_if_sells#size&handoff&send_image&shop_turn!!!ask_if_sells#size->send_image&send_image->handoff&shop_turn->ask_if_sells#size,6
ask_if_sells#size&handoff&send_image&shop_turn!!!ask_if_sells#size->send_image&handoff->shop_turn&send_image->handoff,11
ask_if_sells#size&inform&shop_turn!!!inform->ask_if_sells#size&inform->shop_turn&shop_turn->inform,6
ask_if_sells#size&inform&shop_turn!!!ask_if_sells#size->shop_turn&inform->ask_if_sells#size&shop_turn->inform,35
ask_if_sells#size&inform&request#price&shop_turn!!!ask_if_sells#size->shop_turn&inform->ask_if_sells#size&shop_turn->request#price,3
handoff&inform!!!handoff->inform&inform->handoff,22
inform&request#price&shop_turn!!!inform->shop_turn&request#price->inform&shop_turn->inform,11
greet&handoff&send_image!!!greet->handoff&handoff->greet&handoff->send_image,25
greet&handoff&send_image&shop_turn!!!greet->handoff&handoff->send_image&send_image->shop_turn,19
handoff&inform&send_image&shop_turn!!!handoff->send_image&send_image->shop_turn&shop_turn->inform,46
handoff&send_image&shop_turn!!!send_image->send_image&send_image->shop_turn&shop_turn->handoff,75
agree&inform&shop_turn!!!agree->agree&agree->shop_turn&shop_turn->inform,1
agree&inform&shop_turn!!!agree->shop_turn&inform->shop_turn&shop_turn->inform,45
ask_if_sells#size&send_image&shop_turn!!!send_image->ask_if_sells#size&send_image->shop_turn&shop_turn->send_image,16
inform&request#price&send_image&shop_turn!!!inform->shop_turn&send_image->request#price&shop_turn->send_image,59
handoff&inform&shop_turn&thank!!!handoff->shop_turn&shop_turn->inform&thank->handoff,7
handoff&inform&shop_turn!!!handoff->inform&inform->inform&shop_turn->handoff,59
handoff&inform&request#price&shop_turn!!!handoff->inform&request#price->shop_turn&shop_turn->handoff,43
agree&handoff&inform&shop_turn!!!agree->handoff&handoff->shop_turn&shop_turn->inform,34
agree&ask_if_sells#size&handoff&shop_turn!!!agree->handoff&handoff->shop_turn&shop_turn->ask_if_sells#size,2
greet&handoff&send_image&shop_turn!!!greet->shop_turn&send_image->greet&shop_turn->handoff,19
greet&handoff&request#price&shop_turn!!!greet->handoff&handoff->request#price&shop_turn->greet,6
greet&handoff&request#price!!!greet->handoff&handoff->request#price&request#price->handoff,3
agree&ask_if_sells#size&request#price&shop_turn!!!agree->request#price&ask_if_sells#size->shop_turn&shop_turn->agree,3
agree&request#price&send_image&shop_turn!!!agree->request#price&request#price->shop_turn&shop_turn->send_image,4
handoff&inform&send_image!!!handoff->inform&handoff->send_image&inform->handoff,6
ask_if_sells#size&handoff&inform&send_image!!!handoff->send_image&inform->handoff&send_image->ask_if_sells#size,1
ask_if_sells#size&inform&send_image!!!ask_if_sells#size->inform&inform->send_image&send_image->ask_if_sells#size,2
ask_if_sells#size&greet&inform&send_image!!!ask_if_sells#size->inform&inform->send_image&send_image->greet,1
greet&handoff&inform&send_image!!!greet->handoff&inform->send_image&send_image->greet,1
greet&handoff&send_image&shop_turn!!!greet->handoff&handoff->shop_turn&send_image->greet,11
handoff&shop_turn&thank!!!handoff->thank&shop_turn->thank&thank->handoff,1
handoff&shop_turn&thank!!!handoff->thank&thank->handoff&thank->shop_turn,1
send_image&shop_turn&thank!!!send_image->send_image&shop_turn->send_image&thank->shop_turn,2
request#price&send_image&shop_turn!!!send_image->request#price&send_image->send_image&shop_turn->send_image,43
ask_availability#size&request#price&send_image!!!request#price->ask_availability#size&send_image->request#price&send_image->send_image,2
ask_availability#size&request#price&send_image&shop_turn!!!ask_availability#size->shop_turn&request#price->ask_availability#size&send_image->request#price,28
ask_availability#size&handoff&request#price&shop_turn!!!ask_availability#size->shop_turn&request#price->ask_availability#size&shop_turn->handoff,19
inform&shop_turn&thank!!!inform->inform&shop_turn->thank&thank->inform,2
inform&shop_turn&thank!!!inform->inform&inform->shop_turn&thank->inform,2
agree&handoff!!!handoff->agree&handoff->handoff,11
agree&greet&shop_turn!!!agree->greet&agree->shop_turn&shop_turn->agree,4
