,action,frequency
0,shop_turn,98.84432358939496
1,handoff,58.37473199811745
2,send_image,38.63410552737541
3,request#price,28.588610573654762
4,thank,11.133190398995973
5,ask_if_sells#size,13.08895047848141
6,agree,13.455001830256757
7,inform,25.61836531924907
8,greet,10.944935418082936
9,ask_availability#size,9.470271400930816
10,ask_is_bot,0.5490770276630236
11,send_link,0.7791664487789572
